qber,key_rate,lower_bound,leak_ec,analytic,delta
0.0,0.49999795,0.49999795,0.0,0.5,2.05e-06
0.002449,0.47522769,0.48761283,0.01238514,0.47522972,2.03e-06
0.004898,0.45536405,0.47768101,0.02231696,0.45536608,2.03e-06
0.007347,0.4373578,0.46867789,0.03132009,0.43735983,2.02e-06
0.009796,0.42056083,0.4602794,0.03971858,0.42056285,2.02e-06
0.012245,0.40466531,0.45233164,0.04766633,0.40466733,2.02e-06
0.014694,0.38948996,0.44474397,0.05525401,0.38949198,2.02e-06
0.017143,0.37491501,0.4374565,0.06254148,0.37491703,2.02e-06
0.019592,0.36085533,0.43042665,0.06957133,0.36085735,2.02e-06
0.022041,0.34724727,0.42362262,0.07637536,0.34724929,2.02e-06
0.02449,0.33404144,0.41701971,0.08297827,0.33404346,2.02e-06
0.026939,0.32119838,0.41059818,0.0893998,0.3212004,2.02e-06
0.029388,0.30868586,0.40434192,0.09565606,0.30868787,2.02e-06
0.031837,0.29647701,0.3982375,0.10176048,0.29647903,2.02e-06
0.034286,0.28454915,0.39227357,0.10772441,0.28455117,2.02e-06
0.036735,0.27288284,0.38644041,0.11355757,0.27288486,2.02e-06
0.039184,0.26146122,0.3807296,0.11926838,0.26146324,2.02e-06
0.041633,0.25026957,0.37513377,0.1248642,0.25027159,2.02e-06
0.044082,0.23929491,0.36964645,0.13035154,0.23929692,2.02e-06
0.046531,0.22852568,0.36426183,0.13573615,0.22852769,2.02e-06
0.04898,0.21795156,0.35897477,0.14102321,0.21795358,2.02e-06
0.051429,0.20756327,0.35378063,0.14621735,0.20756529,2.02e-06
0.053878,0.19735242,0.3486752,0.15132278,0.19735443,2.02e-06
0.056327,0.18731136,0.34365467,0.15634331,0.18731338,2.02e-06
0.058776,0.17743313,0.33871556,0.16128243,0.17743515,2.02e-06
0.061224,0.16771135,0.33385467,0.16614332,0.16771337,2.02e-06
0.063673,0.15814015,0.32906907,0.17092891,0.15814217,2.02e-06
0.066122,0.14871412,0.32435605,0.17564193,0.14871614,2.02e-06
0.068571,0.13942824,0.31971311,0.18028487,0.13943025,2.02e-06
0.07102,0.13027786,0.31513792,0.18486006,0.13027987,2.02e-06
0.073469,0.12125864,0.31062831,0.18936967,0.12126066,2.02e-06
0.075918,0.11236656,0.30618228,0.19381571,0.11236858,2.01e-06
0.078367,0.10359784,0.30179791,0.19820007,0.10359985,2.02e-06
0.080816,0.09494893,0.29747346,0.20252453,0.09495094,2.01e-06
0.083265,0.08641652,0.29320725,0.20679074,0.08641853,2.01e-06
0.085714,0.07799747,0.28899773,0.21100026,0.07799948,2.01e-06
0.088163,0.06968883,0.2848434,0.21515457,0.06969086,2.03e-06
0.090612,0.06148785,0.28074291,0.21925506,0.06148988,2.03e-06
0.093061,0.05339191,0.27669495,0.22330304,0.05339392,2.01e-06
0.09551,0.04539846,0.27269822,0.22729975,0.04540049,2.03e-06
0.097959,0.03750521,0.2687516,0.23124639,0.03750723,2.02e-06
0.100408,0.02970988,0.26485393,0.23514405,0.02971189,2.01e-06
0.102857,0.02201035,0.26100417,0.23899382,0.02201236,2.01e-06
0.105306,0.01440459,0.25720129,0.2427967,0.0144066,2.01e-06
0.107755,0.00689068,0.25344433,0.24655366,0.00689269,2.01e-06
0.110204,0.0,0.24973238,0.25026561,0.0,0.0
0.112653,0.0,0.24606454,0.25393344,0.0,0.0
0.115102,0.0,0.24243999,0.257558,0.0,0.0
0.117551,0.0,0.23885792,0.26114007,0.0,0.0
0.12,0.0,0.23531755,0.26468043,0.0,0.0
